(asenv) altsai@Hercules:~/eden/edenTransfer$ python store_fits.py --dryrun /home/altsai/eden/LOT20191007_mod/ | tee LOT20191007_dryrun.log

Bucket successfully loaded! eden-data
434 files found
Storing data to the S3 archive!
Doing a dry run - uploads will not be committed.
Verbose output enabled.
Skipping /home/altsai/eden/LOT20191007_mod/20191007-008d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-008d5s.fits (file already exists) (33/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-008eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-008eden5s.fits (file already exists) (34/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-008v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-008v5s.fits (file already exists) (35/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-009d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-009d5s.fits (file already exists) (36/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-009eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-009eden5s.fits (file already exists) (37/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-009v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-009v5s.fits (file already exists) (38/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-010d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-010d5s.fits (file already exists) (39/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-010e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-010e60s.fits (file already exists) (40/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-010eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-010eden5s.fits (file already exists) (41/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-010v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-010v5s.fits (file already exists) (42/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-011e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-011e60s.fits (file already exists) (43/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-011v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-011v5s.fits (file already exists) (44/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-012e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-012e60s.fits (file already exists) (45/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-012v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-012v5s.fits (file already exists) (46/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-013e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-013e60s.fits (file already exists) (47/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-014e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-014e60s.fits (file already exists) (48/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-015e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-015e60s.fits (file already exists) (49/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-016e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-016e60s.fits (file already exists) (50/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-017e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-017e60s.fits (file already exists) (51/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-018e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-018e60s.fits (file already exists) (52/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-019e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-019e60s.fits (file already exists) (53/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-020e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-020e60s.fits (file already exists) (54/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-021e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-021e60s.fits (file already exists) (55/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-022e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-022e60s.fits (file already exists) (56/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-023e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-023e60s.fits (file already exists) (57/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-024e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-024e60s.fits (file already exists) (58/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-025e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-025e60s.fits (file already exists) (59/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-026e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-026e60s.fits (file already exists) (60/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-027e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-027e60s.fits (file already exists) (61/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-028e60s.fits -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/20191007-028e60s.fits (file already exists) (62/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120131-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120131-Eden.fits (file already exists) (63/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120254-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120254-Eden.fits (file already exists) (64/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120406-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120406-Eden.fits (file already exists) (65/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120518-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120518-Eden.fits (file already exists) (66/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120630-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120630-Eden.fits (file already exists) (67/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120741-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120741-Eden.fits (file already exists) (68/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@120853-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@120853-Eden.fits (file already exists) (69/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121005-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121005-Eden.fits (file already exists) (70/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121117-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121117-Eden.fits (file already exists) (71/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121229-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121229-Eden.fits (file already exists) (72/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121340-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121340-Eden.fits (file already exists) (73/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121451-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121451-Eden.fits (file already exists) (74/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121603-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121603-Eden.fits (file already exists) (75/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121715-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121715-Eden.fits (file already exists) (76/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121827-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121827-Eden.fits (file already exists) (77/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@121939-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@121939-Eden.fits (file already exists) (78/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122051-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122051-Eden.fits (file already exists) (79/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122203-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122203-Eden.fits (file already exists) (80/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122314-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122314-Eden.fits (file already exists) (81/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122426-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122426-Eden.fits (file already exists) (82/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122539-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122539-Eden.fits (file already exists) (83/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122650-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122650-Eden.fits (file already exists) (84/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122802-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122802-Eden.fits (file already exists) (85/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@122914-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@122914-Eden.fits (file already exists) (86/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123025-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123025-Eden.fits (file already exists) (87/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123137-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123137-Eden.fits (file already exists) (88/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123249-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123249-Eden.fits (file already exists) (89/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123400-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123400-Eden.fits (file already exists) (90/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123512-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123512-Eden.fits (file already exists) (91/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123623-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123623-Eden.fits (file already exists) (92/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123735-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123735-Eden.fits (file already exists) (93/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123846-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123846-Eden.fits (file already exists) (94/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@123958-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@123958-Eden.fits (file already exists) (95/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124109-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124109-Eden.fits (file already exists) (96/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124220-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124220-Eden.fits (file already exists) (97/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124332-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124332-Eden.fits (file already exists) (98/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124443-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124443-Eden.fits (file already exists) (99/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124555-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124555-Eden.fits (file already exists) (100/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124706-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124706-Eden.fits (file already exists) (101/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124818-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124818-Eden.fits (file already exists) (102/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@124930-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@124930-Eden.fits (file already exists) (103/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125042-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125042-Eden.fits (file already exists) (104/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125154-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125154-Eden.fits (file already exists) (105/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125305-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125305-Eden.fits (file already exists) (106/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125416-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125416-Eden.fits (file already exists) (107/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125528-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125528-Eden.fits (file already exists) (108/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125640-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125640-Eden.fits (file already exists) (109/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125751-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125751-Eden.fits (file already exists) (110/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@125903-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@125903-Eden.fits (file already exists) (111/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130015-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130015-Eden.fits (file already exists) (112/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130126-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130126-Eden.fits (file already exists) (113/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130237-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130237-Eden.fits (file already exists) (114/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130349-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130349-Eden.fits (file already exists) (115/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130500-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130500-Eden.fits (file already exists) (116/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130612-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130612-Eden.fits (file already exists) (117/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130723-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130723-Eden.fits (file already exists) (118/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130834-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130834-Eden.fits (file already exists) (119/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@130947-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@130947-Eden.fits (file already exists) (120/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@151951-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@151951-Eden.fits (file already exists) (121/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152115-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152115-Eden.fits (file already exists) (122/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152227-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152227-Eden.fits (file already exists) (123/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152338-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152338-Eden.fits (file already exists) (124/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152450-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152450-Eden.fits (file already exists) (125/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152602-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152602-Eden.fits (file already exists) (126/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152713-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152713-Eden.fits (file already exists) (127/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152825-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152825-Eden.fits (file already exists) (128/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/2MUCD10014-20191007@152935-Eden.fts -> s3://eden-data/RAW/LOT/2MUCD10014/2019-10-07/2MUCD10014-20191007@152935-Eden.fits (file already exists) (129/434) (dry run)
